Proceso,Expediente Tipo,Expediente Número,Magistrado(a) ponente,Sala,Sentencia Tipo,Sentencia,Fecha Sentencia,SV-SPV,AV-APV
Demanda de inconstitucionalidad,D,311,Vladimiro Naranjo Mesa,Sala Plena,C,C-549/93,11/29/1993 12:00:00 AM,s.d.,s.d.
Tutela,T,18236,José Gregorio Hernández Galindo,Salas de Revisión,T,T-550/93,11/30/1993 12:00:00 AM,s.d.,s.d.
Tutela,T,16170,José Gregorio Hernández Galindo,Salas de Revisión,T,T-551/93,11/30/1993 12:00:00 AM,s.d.,s.d.
Tutela,T,18821,José Gregorio Hernández Galindo,Salas de Revisión,T,T-552/93,11/30/1993 12:00:00 AM,s.d.,s.d.
Tutela,T,17908,Hernando Herrera Vergara,Salas de Revisión,T,T-553/93,11/30/1993 12:00:00 AM,s.d.,s.d.
Tutela,T,19171,Hernando Herrera Vergara,Salas de Revisión,T,T-554/93,11/30/1993 12:00:00 AM,s.d.,s.d.
Demanda de inconstitucionalidad,D,314,Eduardo Cifuentes Muñoz,Sala Plena,C,C-555/93,12/02/1993 12:00:00 AM,s.d.,s.d.
Demanda de inconstitucionalidad,D,318,Jorge Arango Mejía,Sala Plena,C,C-556/93,12/02/1993 12:00:00 AM,s.d.,s.d.
Demanda de inconstitucionalidad,D,327,Jorge Arango Mejía,Sala Plena,C,C-557/93,12/02/1993 12:00:00 AM,s.d.,s.d.
Demanda de inconstitucionalidad,D,326,Vladimiro Naranjo Mesa,Sala Plena,C,C-566/93,12/02/1993 12:00:00 AM,s.d.,s.d.
Tutela,T,19857,Carlos Gaviria Díaz,Salas de Revisión,T,T-558/93,12/02/1993 12:00:00 AM,s.d.,s.d.
Tutela,T,20897,Carlos Gaviria Díaz,Salas de Revisión,T,T-559/93,12/02/1993 12:00:00 AM,s.d.,s.d.
Tutela,T,20965,Carlos Gaviria Díaz,Salas de Revisión,T,T-560/93,12/02/1993 12:00:00 AM,s.d.,s.d.
Tutela,T,20044,Jorge Arango Mejía,Salas de Revisión,T,T-561/93,12/06/1993 12:00:00 AM,s.d.,s.d.
Tutela,T,20368,Hernando Herrera Vergara,Salas de Revisión,T,T-562/93,12/06/1993 12:00:00 AM,s.d.,s.d.
Demanda de inconstitucionalidad,D,341,Hernando Herrera Vergara,Sala Plena,C,C-565/93,12/07/1993 12:00:00 AM,s.d.,s.d.
Tutela,T,19575,Vladimiro Naranjo Mesa,Salas de Revisión,T,T-563/93,12/07/1993 12:00:00 AM,s.d.,s.d.
Tutela,T,16947,Antonio Barrera Carbonell,Salas de Revisión,T,T-564/93,12/07/1993 12:00:00 AM,s.d.,s.d.
Demanda de inconstitucionalidad,D,357,Carlos Gaviria Díaz,Sala Plena,C,C-567/93,12/09/1993 12:00:00 AM,s.d.,s.d.
Demanda de inconstitucionalidad,D,335,Fabio Morón Díaz,Sala Plena,C,C-568/93,12/09/1993 12:00:00 AM,s.d.,s.d.
Demanda de inconstitucionalidad,D,331,José Gregorio Hernández Galindo,Sala Plena,C,C-569/93,12/09/1993 12:00:00 AM,s.d.,s.d.
